6/15/1994,The Lion King,79300000,422780140
2/10/2012,Journey 2: The Mysterious Island,79000000,103860290
11/11/2011,Jack and Jill,79000000,74158157
12/21/2001,A Beautiful Mind,78000000,170708996
9/27/2013,Cloudy with a Chance of Meatballs 2,78000000,119793567
10/4/2002,Red Dragon,78000000,92955420
3/5/2004,Hidalgo,78000000,67286731
7/11/2003,The League of Extraordinary Gentlemen,78000000,66465204
8/20/2004,Exorcist: The Beginning,78000000,41814863
12/31/2012,Astérix et Obélix: Au service de Sa Majesté,77600000,0
12/31/2015,The Little Prince,77500000,0
7/2/2013,Despicable Me 2,76000000,368065385
6/6/2003,2 Fast 2 Furious,76000000,127120058
12/25/2006,Children of Men,76000000,35327768
6/30/2000,The Adventures of Rocky & Bullwinkle,76000000,26000610
7/2/1996,Independence Day,75000000,306124059
5/22/1997,The Lost World: Jurassic Park,75000000,229074524
3/31/2006,Ice Age: The Meltdown,75000000,195330621
5/27/2005,Madagascar,75000000,193166575
6/25/2010,Grown Ups,75000000,162001186
10/1/2004,Shark Tale,75000000,161412000
7/14/2000,X-Men,75000000,157299717
6/27/2008,Wanted,75000000,134327125
6/7/1996,The Rock,75000000,133955936
2/13/2004,50 First Dates,75000000,120776832
7/20/2007,Hairspray,75000000,118871849
5/31/2013,Now You See Me,75000000,117723989
12/15/2006,Dreamgirls,75000000,103365956
7/23/1999,Inspector Gadget,75000000,97360069
11/11/2011,Immortals,75000000,83504017
6/18/2004,The Terminal,75000000,77073959
2/18/2005,Constantine,75000000,75500759
7/21/2006,Monster House,75000000,73661010
1/16/2009,Hotel for Dogs,75000000,73034460
12/8/2000,Vertical Limit,75000000,68473360
12/21/2007,Charlie Wilson's War,75000000,66661095
4/16/1999,Life,75000000,64016268
3/4/2005,Be Cool,75000000,55849401
12/23/2005,Munich,75000000,47379090
6/4/2010,Killers,75000000,47059963
3/7/2003,Tears of the Sun,75000000,43632458
7/21/2006,Lady in the Water,75000000,42285169
12/17/2004,Spanglish,75000000,42044321
10/12/2001,Bandits,75000000,41523271
12/17/1999,Anna and the King,75000000,39251128
7/7/1995,First Knight,75000000,37027335
3/25/2011,Sucker Punch,75000000,36392502
3/11/2005,Hostage,75000000,34636443
6/13/2003,Hollywood Homicide,75000000,30207785
6/16/2000,Titan A.E.,75000000,22751979
12/17/2004,Flight of the Phoenix,75000000,21009180
10/23/1998,Soldier,75000000,14567883
1/15/1999,Virus,75000000,14010690
2/23/2001,Monkeybone,75000000,5409517
7/10/2015,Minions,74000000,334215500
2/6/2015,The SpongeBob Movie: Sponge Out of Water,74000000,162994032
11/22/2000,Unbreakable,73243106,94999143
8/4/2006,Talladega Nights: The Ballad of Ricky Bobby,73000000,148213377
8/7/1998,Snake Eyes,73000000,55585389
2/13/1998,Sphere,73000000,36976367
7/27/2007,The Simpsons Movie,72500000,183135014
2/8/2008,Fool's Gold,72500000,70231041
7/31/2009,Funny People,72500000,51855045
9/28/2007,The Kingdom,72500000,47467250
6/22/2001,Doctor Dolittle 2,72000000,112950721
5/24/1995,Braveheart,72000000,75545647
11/4/2005,Jarhead,72000000,62647540
4/27/2001,Driven,72000000,32616869
12/21/2001,The Majestic,72000000,27796042
6/25/2004,Two Brothers,72000000,18947630
7/30/2004,The Village,71682975,114197520
6/26/1998,Doctor Dolittle,71500000,144156464
8/2/2002,Signs,70702619,227965690
5/19/2004,Shrek 2,70000000,436471036
6/9/2006,Cars,70000000,244082982
12/23/2009,Alvin and the Chipmunks: The Squeakquel,70000000,219614612
7/30/1999,Runaway Bride,70000000,152149590
6/22/1988,Who Framed Roger Rabbit?,70000000,151931137
8/9/2002,xXx,70000000,141715000
11/8/1996,Ransom,70000000,136448821
8/20/2009,Inglourious Basterds,70000000,120774594
7/3/1990,Die Hard 2,70000000,117323878
